Year,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,ZAR,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GUM,GTM,GGY,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JEY,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,MKD,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,Uzbekistan,VUT,VEN,VNM,VIR,YEM,ZMB,ZWE
1990,,,,,,,,,,0.585094712,0.130369377,,,,,,,0.00100674,,,,,,,,,,,,,,,0.360999701,,,,,,,,,,,,,,,,,0.097277268,,,,,,,,,,,,,0.40108767,0.052777862,,,,,,0.125892223,,,,,,,,,,,,,,,,,,,,,,0.110773866,0.017544562,,0.020293683,,,,,,0.023265092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334386942,,,,,,,0.707299448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012873564,,,,,,0.584192066,0.595714223,,,,,,,,,,,,,,,,,0.087355319,0.784728502,,,,,,,,,
1991,,,,,,,,,,1.097203891,0.259081553,,,,,,,0.020072645,,,,,,,,0.003288171,,,,,,,0.570385926,,,,,,,,,,,,,,,,,0.194056515,,,,,,,,,,,,,1.397439332,0.140113895,,,,,,0.250274153,,,0.048788803,,,,,,,,,,,0.120955444,0.00338263,0.505129002,,,,,0.056796044,0.2146241,0.035063256,,0.040438041,,,,,,0.046124435,,,,,,,,,,,,,,,,,,,,,,0.005880695,,,,,,,,,,,0.531496128,,,,,,,1.407395158,,,,,,,,,,0.005229468,0.10023057,,,,,,,,,,,,,,,,0.161504498,,,,,0.013283591,0.025686194,,,,,,1.160519453,1.17995597,,,,,5.22334E-05,,,,,,,,,,,,0.174230922,1.163193726,,,,,,,,,
1992,,,,,,,0.002992874,,,1.768764913,0.642817619,,,,,,,0.100041027,,,,,,,,0.012946262,,,,,,,0.91598104,,,,,0.036548938,,,,,,0.001113325,,,,0.05006043,,0.386913951,,,,0.005118035,,,,,0.065484797,,,,1.88687977,0.279049463,,,,,,0.43528529,,,0.048291602,,,,,,,,,,,0.849527883,0.048353421,1.53916008,0.000111308,,,,0.169686377,0.310579197,0.070053433,,0.096678025,,,,,,0.098404337,,,,,,,,,,,0.153198791,,,,0.001047822,,,,,,,0.01730781,,,,,,,,,,,1.320008028,,,0.285941241,,,,2.216365832,,,,,,,,,,0.052127181,0.250426501,,,,0.000672532,,,,,,,,,,,,0.471368155,,,,,0.038869106,0.076845453,,,,,,1.497871352,1.751713322,,,,,0.000343725,,,,,,,,,,,,0.260615159,1.724202539,,,,0.012082134,,,,,
1993,,,,,,,0.029527065,,,1.974611016,0.76534273,,,,,,,0.199446059,,,,,,,,0.025498253,,0.002339042,,,,,1.184557509,,,,,0.071783144,0.00016868,,,,,0.081509754,,0.097213389,,0.056367482,0.581319529,0.578329976,,,,0.016400751,0.000975791,,,,0.300711282,,,0.006678447,2.568461349,0.590619383,,,,,,0.463635096,,,0.191062242,,,,,,,,,,,1.334568031,0.193414395,2.667825265,0.000218176,,,,0.281141005,0.398833333,0.122462053,,0.401277526,,,,,,0.249946523,0.091082245,,,,,,,,,,0.302155121,,,,0.025538478,,,,,,,0.028305042,,,,,,,,,,,1.967087737,,,0.631215367,,,,2.783990846,,,,,,,,,,0.129961704,0.450161608,,,0.003703214,0.013447238,,,,,,,,,,,,0.763278139,0.127829232,0.409792399,,,0.113747184,0.127689668,,,,,,1.716364182,2.167270203,,,,,0.013580966,,,,,,0.008457732,,,,0.00077697,,0.519762001,2.271673294,,,,0.041587233,,,,,
1994,,,0.000360674,,,,0.043705951,0.009117014,,2.232101254,1.393422968,0.001431415,,,,,0.000485951,0.69599469,,,,,,,,0.037672709,,0.019526669,,,,,2.378693853,,,,,0.141084507,0.001168115,0.107173945,,,,0.279912479,,0.268318997,,0.111034621,1.259217838,1.34430775,,,,0.034833586,0.00638327,,,,1.159750913,,,0.007907399,4.915098554,0.899867425,,,,,,0.922541043,,,0.378174312,0.064712121,,0.34845391,,,0.000138318,,,,,2.784198266,0.483580975,6.794811784,0.001069562,0.001059744,0.000408332,,0.558377222,0.57696646,0.192304619,0.036817104,0.799684291,,,0.000521079,,,0.311359364,0.147162703,,,,,,,,,,0.496486119,0.036993376,,,0.099607417,,,,,,,0.043339167,,0.000825391,,,,,,,,,3.257308831,,,3.168718848,0.013166228,,,4.152450292,,,,,0.007636899,,,0.008504578,0.005844253,0.389098144,0.718905754,0.027254662,,0.026300162,0.053817493,,,,,,,,,,,,1.185203797,0.318509704,1.071570172,,,0.246905533,0.280069738,0.002765448,,,,,3.412810096,2.720004329,,,,,0.038614321,,,,,0.007379544,0.049869182,,,,0.013641246,,1.036609166,4.862780635,0.062474386,,,0.055486978,,0.940645283,,0.006776105,0.00173928
1995,,0.011168695,0.001768954,,,2.200768802,0.086277081,0.052743123,,2.759654513,1.890210524,0.002055556,0.960030721,0.346205844,,0.007752238,0.002921254,0.99166299,0.04539718,,6.838163465,,0.066807568,,0.064521041,0.105138168,1.017080166,0.119665549,,,,,4.163525253,,3.948967193,,,0.346980781,0.00495471,0.18804679,,,,0.416829206,0.000200256,0.51402859,9.1658E-05,0.410120685,1.45357584,3.82565642,0.01603083,0.548762737,0.017233601,0.043833641,0.031319638,,,,2.778968489,1.75491E-05,,0.009115343,13.90030389,1.637947245,,,,0.009217541,0.011836885,1.837737754,0.000347918,,0.749616477,0.053940342,,0.659530909,0.002998005,,0.000668589,,,,0.036775252,3.218635643,0.677486054,11.2158757,0.026228879,0.026109477,0.004179752,,1.108386328,0.93042297,0.524412787,0.109487986,1.594363148,,0.02323392,0.011302355,0.000727482,,0.81968667,0.202898433,,,,0.071617991,,,,,,1.590941911,0.280014086,,,0.145673837,,,0.224995699,,,,0.10256419,,0.003457217,0.008811225,,0.003710492,,,0.006172051,,0.000924878,6.47315766,,0.005179013,4.88424078,0.030046478,,,6.423220493,,0.000122702,,,0.056123043,,,0.033412305,0.028585702,0.647752333,1.494334529,0.135102783,0.190209535,0.074952756,0.148151042,,,0.305656686,,1.362132711,,0.010956134,0.000692848,,,,2.873418722,0.523210163,2.898985609,0.02487191,,0.676740104,0.380800728,0.005484436,0.128634622,,0.114720735,0.00103175,5.098024244,3.552007211,,,,0.04074384,0.074825338,,,0.12323112,0.158149899,0.011191954,0.081691205,,,0.002863471,0.043083985,0.102939175,1.895168284,9.237088297,0.310128582,0.001527093,,0.122214848,,2.801957634,,0.008783623,0.00768354
1996,,0.032196828,0.001738533,1.526601023,0.000775929,2.858449577,0.141954704,0.094572902,2.768382663,3.27524987,6.909162353,0.006354585,1.746950698,0.843254219,,0.389464214,0.029298294,2.968411647,0.882807327,0.0016931,16.20246602,,0.196081174,0.015125563,0.15745423,0.450789179,3.303349927,0.725251167,0.000960519,0.000803592,,,6.76023965,,,0.005849503,,0.68347561,0.013081692,0.330017773,,0.00352686,0.000108207,0.84105704,0.00840978,0.858982368,0.031949001,0.673343541,1.940378193,5.714987841,0.031166241,1.165518146,0.074987053,0.086161276,0.061466899,0.086389581,,,3.525111129,0.001703448,2.318786811,0.064437142,16.78007526,2.584033979,0.34875286,0.090971944,,0.03550736,0.040065419,3.054805234,0.005648763,,1.395360779,1.796719191,0.298032982,1.356106888,0.019534871,1.62601626,0.001948942,,0.065854115,0.007484253,0.043711246,4.748838672,0.969239536,14.80647932,0.046333977,0.056623989,0.01582608,,2.199301832,2.1683676,1.023289903,0.591145842,4.372981968,1.138329842,0.044938549,0.031824512,0.008839115,,1.624237192,0.855662317,,,0.812717072,0.140166939,0.00284594,,,,0.277421291,5.551653306,0.727273598,0.003695196,,0.852044466,0.22693009,0.002055228,1.051527475,0.037059432,,0.183769158,0.20040628,0.278037795,0.004643901,0.018160749,,0.005675444,0.003042979,,0.009032145,,0.004510473,9.649069145,0.264737962,0.252983946,8.041899368,0.084093291,0.001039305,0.00883298,18.25031077,,0.00299173,,,0.219998526,0.002067023,0.020359612,0.24623258,0.055946029,1.295200255,2.98087767,0.268160428,0.930185833,0.221622649,0.26975293,0.000883372,1.945569823,0.670465974,,1.428075186,,0.026732651,0.011238219,,0.651474286,0.002506116,8.34995903,0.783290109,5.072272271,0.268683585,0.00150955,0.841882931,1.331847404,0.054464499,0.483248317,,0.226306297,0.050399009,9.04359976,4.549656748,,,0.001622155,0.075995734,0.115472136,,0.010929139,0.163793456,0.393080525,0.027615372,0.192724936,,,0.004625948,0.098580381,0.375393534,4.123650336,16.41935296,1.847472089,0.004285074,0.056845636,0.24826058,0.000134813,4.647185664,0.000621081,0.009069176,0.016790484
1997,,0.048593919,0.010268463,3.050175385,0.005673746,3.480536838,0.280339882,0.111650935,,16.36935838,9.533974317,0.025187933,1.362953903,1.646299202,0.000751046,0.783428912,0.049020891,4.93808091,1.288582302,0.024648796,24.18925674,,0.447839036,0.059425563,0.30774685,0.786079155,4.831057905,1.219813132,0.018686353,0.007979439,0.005844911,0.006768744,15.07235736,0.24096792,,0.014270881,0.000658168,1.057092496,0.032394861,0.550521023,,0.003469104,0.000211213,1.640221288,0.018828361,1.729609312,0.068220214,4.378272095,2.915698695,11.38200494,0.082941498,,0.142687565,0.110217959,0.090480245,0.256960679,0.041462292,0.009017718,5.706276548,0.00496672,4.601297566,0.223454842,19.4586828,4.255003872,0.67481392,0.21438525,0.047999009,0.051311347,0.060930333,6.711087477,0.027537542,2.662907268,1.849634688,7.954504682,0.990883868,2.344571647,0.095476021,3.387096774,0.003803109,0.016389063,0.131828033,,0.170996468,10.51875705,1.942449872,27.47886875,0.070767849,0.194910264,0.046756094,,4.08825507,4.399405482,2.276737834,0.797797441,9.16307714,3.347093607,0.599341106,0.064596754,0.034406051,,3.600801564,2.174535859,,,2.053454712,1.241079739,0.005584433,0.004489443,,,0.978422157,7.142704085,2.364127672,0.014333647,0.004668518,2.307393234,0.309444238,0.010085919,3.920605132,,0.004172527,0.475629193,0.62731154,0.570676845,0.028128808,0.112742554,,0.021635203,0.011842611,,0.058750679,,0.021998858,14.0655114,,0.989334969,14.6015244,0.206216818,0.002008766,0.017237401,20.41788144,0.439792805,0.027549238,,,0.539065541,0.100588321,0.099576719,0.403429701,0.136912963,2.073465474,4.953001955,1.331822159,3.083749186,0.445444676,0.472963763,0.001625791,2.258559942,0.992168483,0.174571863,1.41854848,,0.052099031,0.027347441,,1.28295593,0.004987835,13.47162042,1.173381014,7.591923004,0.391923246,0.002948713,1.632093791,2.803319625,0.162464548,0.926371957,0.001231819,1.003086936,0.088545986,23.72794756,15.1,0.032607814,,0.007900283,0.503985009,0.360522185,,0.211139465,0.510866122,1.173174658,0.043656974,0.473695432,,,0.010319341,0.198821885,3.295592694,7.385398957,21.61640097,3.363239668,0.010536935,0.139505815,0.390959318,0.003981962,6.948368986,0.015025295,0.009329658,0.033080327
1998,,0.06502737,0.020238555,6.886209218,0.018453724,4.0717165,0.83076668,0.128659478,,30.81323944,15.42121932,0.037485109,2.33559071,3.218202151,0.003684813,1.970249237,0.073868897,7.886622701,2.091516391,0.047877304,32.10375935,,0.626484062,0.14367106,0.602400929,1.477874959,6.284742844,1.844965121,0.045423484,0.015842776,0.016324986,0.013216341,24.8974003,0.472735008,,0.027878201,0.004268504,1.662322022,0.168540297,1.126225245,0.03787097,0.003415143,0.000413065,2.666378698,0.060974439,3.273220279,0.226699199,8.890539159,3.895906065,22.66874615,0.094696004,2.925345191,0.233914189,0.125272771,0.147987377,0.425253672,0.094423774,0.008774236,10.79603483,0.009663517,11.33786848,0.633167865,25.45252493,6.319778722,0.978294897,1.316164696,0.17012488,0.206094461,0.102830957,9.877852428,0.032240443,4.183794329,3.221821786,14.65444717,1.484854484,4.50128419,0.466590444,7.258064516,0.006203369,0.024060421,0.26408811,0.023999477,0.301247214,14.54597958,3.894643278,36.2642065,0.139027329,0.255306646,0.099815221,,8.096010043,10.30706995,4.558519565,1.978726318,13.41404088,4.653272996,1.305888264,0.131069604,0.050261388,0.616545618,6.781815468,3.052397455,0.072808334,0.009657814,3.315267886,2.722352199,0.010956533,0.004099387,,,1.972063745,11.74555372,7.003324245,0.062561023,0.018057365,6.751770483,0.569627464,0.019793888,6.500783995,,0.040594795,2.565279962,1.265783278,1.858718785,0.260818206,0.145810542,,0.142300767,0.020197055,,0.286745093,,0.064393596,22.24382769,,1.936042825,31.63626081,0.303808975,0.002911503,0.025231461,22.56011255,0.862725306,0.043947719,,,2.750648071,0.234958542,0.194904951,1.19038044,1.103405994,4.102272002,9.870446442,2.647646679,3.52002985,2.237649473,0.812744451,0.011763573,3.343810607,1.304988973,0.230359015,1.408557941,0.295847047,0.101429893,0.079871379,,2.526177514,0.014805065,19.59076716,2.689809786,10.10460285,0.508292797,0.00716442,2.906220867,4.361892394,0.296351104,1.853997683,0.004805071,1.670148436,0.096099605,33.46751233,24.8,0.063687286,,0.009244125,1.002861666,1.091218985,,0.305583935,0.765134358,2.724825339,0.107940957,0.698805129,,,0.065289465,0.301075792,6.908302986,13.6699831,30.09319659,6.987069365,0.020754437,0.274185942,1.383990391,0.013078543,9.245220221,0.023323243,0.030226183,0.081648476
1999,,0.081437045,0.199523843,7.635686143,0.071964087,5.300681138,3.284481956,0.970737757,4.506179098,40.7837839,23.0443171,0.099228942,3.764557822,4.720358118,0.036170407,2.376247035,0.494881245,13.77221446,4.076740564,0.154906741,39.94758876,0.137571514,0.981815187,0.1943742,1.122391474,2.038732184,7.671041206,2.908154025,0.061780293,0.039204469,0.031969578,0.129067581,36.18644004,1.159982461,,0.040894287,0.012321728,4.103419297,0.708187957,1.697730794,0.148162964,0.016791049,0.001009076,3.904323257,0.118685917,4.405359119,0.314690541,11.34239866,6.832802018,30.59204065,0.105761909,2.932164377,1.104743874,0.823371634,0.290445278,0.845428741,0.097415945,0.025495028,14.50089724,0.012541599,22.29753835,0.942462063,32.29509229,9.125317889,1.258241482,3.448900232,0.249009564,0.715827015,0.416343567,20.84598264,0.104895466,5.936978297,6.877292144,21.60261331,2.473166147,8.497176323,0.592652945,15.2,0.060808919,0.117702448,3.966354735,0.070658478,0.573575476,21.23068197,5.857840749,41.29456671,0.273224277,0.444415936,0.378569095,,10.93380859,13.43612191,14.37841019,2.355688556,21.39129031,6.946856547,2.526965353,0.464277218,0.114256028,1.211577838,23.55219445,4.756222209,0.20471135,0.037780708,4.387409055,5.376809498,0.05380446,0.011328732,0.133617289,,2.9230547,17.3879578,9.212005085,0.168608781,0.087278755,12.3055022,1.119908615,0.060909873,7.759798038,0.966071567,0.118464464,4.652213227,1.857436221,2.797594069,0.600695269,0.50847156,,0.175595345,0.056250629,0.000151709,0.336217708,,0.146668869,39.17600725,1.099426649,5.688147323,41.49448266,0.497901643,0.028136022,0.041038723,40,2.515665987,0.055357238,,,3.836864509,0.667113315,0.38165732,1.952497608,1.431608803,5.45644373,14.74233784,5.265682651,4.070728915,2.697580217,1.018984614,0.067176482,4.400440044,1.932105802,0.285308333,42.80331575,0.363203161,0.49358534,0.311090952,,6.229054803,0.048490656,24.15543693,5.437758139,12.61093843,0.494541498,0.013910394,4.116249583,7.085039678,0.348414425,2.7820023,0.008794581,1.891871357,0.4707176,41.43278316,34,0.124295462,0.032791858,0.075130889,1.49733026,2.426242432,,0.590363264,1.01796712,5.814250962,1.602494764,2.292117685,0.04502077,,0.10554394,0.405385448,14.94269899,21.29363827,35.84872446,9.972765285,0.030688343,0.538300048,2.839825767,0.128926663,11.07460593,0.056628675,0.147053172,0.161675528
2000,,0.114097347,0.491705679,10.53883561,0.105045562,6.482225737,7.038683086,1.300470022,15.44282295,46.75611561,33.73013295,0.147757576,8,6.153732546,0.071039423,3.973678355,1.860398126,29.43169169,5.963835303,0.225247851,42.94986002,0.400944447,1.442763585,1.08296075,2.902666622,2.870685159,8.996284534,5.370923469,0.077080169,0.077248447,0.04702264,0.252120078,51.3,1.822443852,,0.053394174,0.035707076,16.6,1.775913207,2.207532993,0.271740607,0.026354732,0.005902114,5.800253023,0.231461671,6.644882544,0.541182549,15.25539437,9.780527888,39.17243086,0.194500528,8.814844198,3.704692356,1.462188536,0.641265038,1.177397269,0.132354665,0.136711941,28.57695381,0.015263767,32.91639236,1.496854734,37.24846174,14.30792394,9.687341067,6.357063545,1.216140618,0.921794919,0.484746299,30.2163466,0.153615298,19.13163812,9.138837308,31.74781123,4.063907991,16.11312704,0.712332905,31.89792663,0.095424924,0.230103171,6.611491566,0.231270715,1.203855999,27.82776068,6.999676351,44.47053382,0.52753245,0.925563864,0.93419002,,17.85046724,20.87379,23.11087424,3.115778027,29.99074036,9.218713989,2.623275422,0.668594403,0.318059714,1.785225474,44.7,6.731395768,1.041401145,0.111044032,6.319062083,7.952743736,0.21180607,0.017702706,0.187042622,36.51522989,6.427067495,22.88732797,13.60858974,0.196394691,0.126780945,21.38473116,2.203872939,0.142545755,13.11370871,1.534271796,0.192031462,7.281535115,5.081384153,3.734862137,1.282846417,1.255652004,,0.693791245,0.10959253,,1.644739547,,0.204651684,43.98435137,,13.93954882,47.37955654,0.980216487,0.036261294,0.064080808,52,3.520421417,,,1.111306207,6.554796477,0.835249302,0.747630712,3.076430611,1.982253196,7.285428708,16.43046769,10.47464821,4.863679179,3.613717291,1.977230109,0.06283146,5.86281024,5.090483341,0.566392533,48.79949531,4.638516816,2.210691809,0.403967486,,7.395629183,0.118254246,36,9.426803201,15.11025956,0.481296806,0.02,5.348559732,13.62496081,0.647410011,3.245037411,0.025785032,2.506411052,0.926191777,45.68765221,47.1,0.18169858,0.048599595,0.11719444,2.485566316,3.689041279,,0.8,2.434398044,7.721411474,2.750740293,3.761685035,0.133282183,5.241639585,0.163714063,0.716183762,23.62530088,26.82175435,43.07916264,10.53905775,0.484347308,2.108336891,3.359597465,0.254248276,13.81508054,0.082500387,0.191071643,0.401433535
